country,flag,map,region code,tags
Isle of Man,"<img src=""ug-flag-isle_of_man.svg"" />",,,UG::Europe UG::Overlapping
Jersey,"<img src=""ug-flag-jersey.svg"" />",,,UG::Europe UG::Overlapping
Falkland Islands,"<img src=""ug-flag-falkland_islands.svg"" />",,,UG::South_America UG::Overlapping
Azores,"<img src=""ug-flag-azores.svg"" />",,,UG::Europe UG::Overlapping
Mayotte,,,,UG::Africa UG::East_Africa UG::Overlapping
Madeira,"<img src=""ug-flag-madeira.svg"" />",,,UG::Europe UG::Overlapping
Corsica,"<img src=""ug-flag-corsica.svg"" />",,,UG::Europe UG::Overlapping
Martinique,,,,UG::Caribbean UG::North_America UG::Overlapping
Sardinia,"<img src=""ug-flag-sardinia.svg"" />",,,UG::Europe UG::Overlapping
Sicily,"<img src=""ug-flag-sicily.svg"" />",,,UG::Europe UG::Overlapping
Zanzibar,"<img src=""ug-flag-zanzibar.svg"" />",,,UG::Africa UG::Overlapping
Canary Islands,"<img src=""ug-flag-canary_islands.svg"" />",,,UG::Africa UG::Overlapping
Guadeloupe,,,,UG::Caribbean UG::North_America UG::Overlapping
Réunion,,,,UG::Africa UG::East_Africa UG::Overlapping
Kaliningrad Oblast,"<img src=""ug-flag-kaliningrad_oblast.svg"" />",,,UG::Europe UG::Overlapping
French Guiana,,,,UG::South_America UG::Overlapping
Bali,"<img src=""ug-flag-bali-blur.png"" /><img src=""ug-flag-bali.png"" />",,,UG::Asia UG::Overlapping
